dia,tarifario,opcao,intervalo,col,omie,tar,omieTar
03/04/2026,Alfa Power Index BTN,Simples,[00:00-00:15[,0.11281,0.01228,0.06070,0.07480
03/04/2026,Alfa Power Index BTN,Simples,[00:15-00:30[,0.11243,0.01206,0.06070,0.07450
03/04/2026,Alfa Power Index BTN,Simples,[00:30-00:45[,0.11205,0.01182,0.06070,0.07419
03/04/2026,Alfa Power Index BTN,Simples,[00:45-01:00[,0.11140,0.01134,0.06070,0.07361
03/04/2026,Alfa Power Index BTN,Simples,[01:00-01:15[,0.11132,0.01134,0.06070,0.07358
03/04/2026,Alfa Power Index BTN,Simples,[01:15-01:30[,0.11097,0.01110,0.06070,0.07328
03/04/2026,Alfa Power Index BTN,Simples,[01:30-01:45[,0.11091,0.01110,0.06070,0.07326
03/04/2026,Alfa Power Index BTN,Simples,[01:45-02:00[,0.11115,0.01134,0.06070,0.07352
03/04/2026,Alfa Power Index BTN,Simples,[02:00-02:15[,0.11212,0.01228,0.06070,0.07455
03/04/2026,Alfa Power Index BTN,Simples,[02:15-02:30[,0.11184,0.01206,0.06070,0.07430
03/04/2026,Alfa Power Index BTN,Simples,[02:30-02:45[,0.11181,0.01206,0.06070,0.07428
03/04/2026,Alfa Power Index BTN,Simples,[02:45-03:00[,0.11177,0.01206,0.06070,0.07427
03/04/2026,Alfa Power Index BTN,Simples,[03:00-03:15[,0.11147,0.01182,0.06070,0.07399
03/04/2026,Alfa Power Index BTN,Simples,[03:15-03:30[,0.11145,0.01182,0.06070,0.07398
03/04/2026,Alfa Power Index BTN,Simples,[03:30-03:45[,0.11170,0.01206,0.06070,0.07425
03/04/2026,Alfa Power Index BTN,Simples,[03:45-04:00[,0.11169,0.01206,0.06070,0.07424
03/04/2026,Alfa Power Index BTN,Simples,[04:00-04:15[,0.11192,0.01228,0.06070,0.07448
03/04/2026,Alfa Power Index BTN,Simples,[04:15-04:30[,0.11191,0.01228,0.06070,0.07448
03/04/2026,Alfa Power Index BTN,Simples,[04:30-04:45[,0.11273,0.01302,0.06070,0.07531
03/04/2026,Alfa Power Index BTN,Simples,[04:45-05:00[,0.11238,0.01271,0.06070,0.07496
03/04/2026,Alfa Power Index BTN,Simples,[05:00-05:15[,0.11189,0.01228,0.06070,0.07447
